rank,gid,role,priority_score,why
1,100000003115284100,consolidator,0.958316,"Признаки консолидации: 8 наблюдаемых отправителей, достижим из 11 известных seed-узлов, входящий объём 2160500 KZT."
2,100000004015047100,consolidator,0.925174,"Признаки консолидации: 9 наблюдаемых отправителей, достижим из 11 известных seed-узлов, входящий объём 919104 KZT."
3,100000006274203100,consolidator,0.919597,"Признаки консолидации: 2 наблюдаемых отправителей, достижим из 9 известных seed-узлов, входящий объём 3417512 KZT."
4,100000006889963100,consolidator,0.917761,"Признаки консолидации: 4 наблюдаемых отправителей, достижим из 11 известных seed-узлов, входящий объём 1431000 KZT."
5,100000001887715100,consolidator,0.909974,"Признаки консолидации: 3 наблюдаемых отправителей, достижим из 9 известных seed-узлов, входящий объём 1331500 KZT."
6,100000008489922100,distributor,0.895120,"Признаки распределения: 36 наблюдаемых получателей, исходящий объём 3789900 KZT."
7,100000003684369100,distributor,0.890064,"Признаки распределения: 62 наблюдаемых получателей, исходящий объём 8588655 KZT."
8,100000001141268100,consolidator,0.880156,"Признаки консолидации: 2 наблюдаемых отправителей, достижим из 9 известных seed-узлов, входящий объём 480000 KZT."
9,100000005382566100,consolidator,0.876668,"Признаки консолидации: 7 наблюдаемых отправителей, достижим из 15 известных seed-узлов, входящий объём 393066 KZT."
10,100000002849158100,consolidator,0.876546,"Признаки консолидации: 3 наблюдаемых отправителей, достижим из 9 известных seed-узлов, входящий объём 723000 KZT."
11,100000008165763100,distributor,0.874692,"Признаки распределения: 17 наблюдаемых получателей, исходящий объём 1267858 KZT."
12,100000007908818100,distributor,0.871086,"Признаки распределения: 6 наблюдаемых получателей, исходящий объём 302000 KZT."
13,100000001937767100,distributor,0.863292,"Признаки распределения: 4 наблюдаемых получателей, исходящий объём 1933000 KZT."
14,100000001616816100,coordinator,0.858531,"Структурно значимый узел: PageRank 1.00, betweenness 0.93, достижим из 11 seed-узлов."
15,100000005074393100,distributor,0.852324,"Признаки распределения: 6 наблюдаемых получателей, исходящий объём 685500 KZT."
16,100000003390036100,consolidator,0.852106,"Признаки консолидации: 2 наблюдаемых отправителей, достижим из 11 известных seed-узлов, входящий объём 231300 KZT."
17,100000002343825100,consolidator,0.851671,"Признаки консолидации: 3 наблюдаемых отправителей, достижим из 8 известных seed-узлов, входящий объём 350000 KZT."
18,100000005514161100,consolidator,0.848774,"Признаки консолидации: 4 наблюдаемых отправителей, достижим из 9 известных seed-узлов, входящий объём 401500 KZT."
19,100000003635170100,transit,0.846356,Признаки транзита: наблюдаются входящие и исходящие потоки; коэффициент баланса 0.94.
20,100000004997515100,consolidator,0.846008,"Признаки консолидации: 4 наблюдаемых отправителей, достижим из 9 известных seed-узлов, входящий объём 395000 KZT."
